statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;09;Bayern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;103;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;09;Bayern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;146;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;105;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;83;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;83;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR02000B02500;2000 bis unter 2500 EUR;21;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;239;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;8;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;()
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;117;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;125;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;114;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03500UM;3500 EUR und mehr;213;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03500UM;3500 EUR und mehr;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03500UM;3500 EUR und mehr;181;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03500UM;3500 EUR und mehr;182;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03500UM;3500 EUR und mehr;31;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;15;Sachsen-Anhalt;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;31;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;15;Sachsen-Anhalt;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;15;Sachsen-Anhalt;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;28;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;15;Sachsen-Anhalt;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;28;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;15;Sachsen-Anhalt;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR03000B03500;3000 bis unter 3500 EUR;/;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01500B01750;1500 bis unter 1750 EUR;108;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01500B01750;1500 bis unter 1750 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01500B01750;1500 bis unter 1750 EUR;66;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01500B01750;1500 bis unter 1750 EUR;68;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01500B01750;1500 bis unter 1750 EUR;41;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;68;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;35;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;36;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01250B01500;1250 bis unter 1500 EUR;31;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00500;unter 500 EUR;42;1000;BEV036;Bevölkerung in Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00500;unter 500 EUR;/;1000;ERW042;Erwerbslose aus Hauptwohnsitzhaushalten;
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00500;unter 500 EUR;11;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00500;unter 500 EUR;12;1000;ERW040;Erwerbspersonen aus Hauptwohnsitzhaushalten;p
12211;Mikrozensus;JAHR;Jahr;2024;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESW;weiblich;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00000B00500;unter 500 EUR;29;1000;ERW043;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;p
