Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;UNT002__Unternehmen_(EU)__Anzahl;PER005__Taetige_Personen__Anzahl;UMS002__Umsatz__Mill._EUR;INV018__Bruttoinvestitionen_in_Sachanlagen__Mill._EUR;BWS003__Bruttowertschoepfung_zu_Faktorkosten__Mill._EUR;BBU001__Bruttobetriebsueberschuss__Mill._EUR;PAW002__Personalaufwendungen__Mill._EUR;VST005__Bruttoloehne_und_-gehaelter__Mill._EUR;KOS026__Sozialversicherungskosten__Mill._EUR;KOS002__Kosten_fuer_Mieten_und_Pachten__Mill._EUR;PRO013__Produktionswert__Mill._EUR;KAU007__Waren-_und_Dienstleistungskaeufe__Mill._EUR;KAU008__Kaeufe_v.Waren_u.DL_z.Wiederverk._i.unveraend._Zust.__Mill._EUR;VRV001__Vorratsveraenderungen_bei_Waren_u._Dienstleistungen__Mill._EUR;AUFW05__Aufwendungen_fuer_Leiharbeitnehmer__Mill._EUR;LGE001__Lohn-_und_Gehaltsempfaenger__Anzahl;LGE002__Lohn-_und_Gehaltsempfaenger_in_Vollzeiteinheiten__Anzahl
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-773;Vermiet.v.Maschinen,Geräten u.sonst.bewegl.Sachen;13190;63202;15251;4616;8684;6559;2126;1753;373;-;12708;6412;2610;-;36;47528;41483
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-774;Leasing n.finanz.immat. Vermög.gegenst.(oh.Copyr.);601;10455;5478;47;1228;454;774;611;163;-;3506;4205;1973;-;3;9993;9065
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-781;Vermittlung von Arbeitskräften;3434;42110;3488;52;1832;379;1453;1212;241;-;2447;1593;1004;-;10;38615;34224
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-782;Befristete Überlassung von Arbeitskräften;4924;621388;23557;191;19820;2194;17626;14544;3082;-;22673;3675;907;-;98;615325;542740
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-783;Sonstige Überlassung von Arbeitskräften;1057;78831;3445;25;2911;483;2429;2016;413;-;3280;513;163;-;8;77718;68881
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-791;Reisebüros und Reiseveranstalter;8619;69692;13259;87;1814;-253;2067;1661;406;-;5072;11553;7924;-;7;60689;50270
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-799;Erbringung sonstiger Reservierungsdienstleistungen;1077;12086;948;20;294;-61;355;289;66;-;677;688;267;-;4;11068;8821
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-801;Private Wach- und Sicherheitsdienste;4456;204910;9000;121;6788;923;5864;4864;1001;-;7963;2172;1049;-;51;200601;162707
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-802;Sicherheitsdienste m.Überwachungs- u.Alarmsystemen;604;11806;762;26;458;104;354;294;60;-;629;317;151;-;4;11197;9296
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-803;Detekteien;781;4608;191;4;109;46;64;52;12;-;158;80;33;-;3;3854;2418
