statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;3604;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;14;Sachsen;2102;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;14;Sachsen;1906;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;14;Sachsen;1955;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;14;Sachsen;195;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;14;Sachsen;4057;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;15;Sachsen-Anhalt;1077;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;15;Sachsen-Anhalt;1020;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;15;Sachsen-Anhalt;1086;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;15;Sachsen-Anhalt;57;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;15;Sachsen-Anhalt;2163;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;11;Berlin;1731;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;11;Berlin;1530;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;11;Berlin;1568;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;11;Berlin;201;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;11;Berlin;3300;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;05;Nordrhein-Westfalen;8635;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;05;Nordrhein-Westfalen;8096;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;05;Nordrhein-Westfalen;8905;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;05;Nordrhein-Westfalen;539;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;05;Nordrhein-Westfalen;17541;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;02;Hamburg;1016;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;02;Hamburg;979;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;02;Hamburg;811;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;02;Hamburg;37;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;02;Hamburg;1827;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;08;Baden-Württemberg;5530;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;08;Baden-Württemberg;5334;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;08;Baden-Württemberg;4964;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;08;Baden-Württemberg;196;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;08;Baden-Württemberg;10494;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;12;Brandenburg;1375;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;12;Brandenburg;1239;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;12;Brandenburg;1132;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;12;Brandenburg;136;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;12;Brandenburg;2507;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;01;Schleswig-Holstein;1427;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;01;Schleswig-Holstein;1323;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;01;Schleswig-Holstein;1405;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;01;Schleswig-Holstein;104;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;01;Schleswig-Holstein;2833;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;12;Brandenburg;1299;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;12;Brandenburg;1246;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;12;Brandenburg;1169;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;12;Brandenburg;53;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2018;DLAND;Bundesländer;12;Brandenburg;2468;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;15;Sachsen-Anhalt;1230;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;15;Sachsen-Anhalt;1091;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;15;Sachsen-Anhalt;1113;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;15;Sachsen-Anhalt;139;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2010;DLAND;Bundesländer;15;Sachsen-Anhalt;2343;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;10;Saarland;494;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;10;Saarland;465;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;10;Saarland;498;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;10;Saarland;29;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;10;Saarland;992;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;06;Hessen;3176;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;06;Hessen;3050;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;06;Hessen;2939;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;06;Hessen;126;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;06;Hessen;6115;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;11;Berlin;1801;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;11;Berlin;1555;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;11;Berlin;1636;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;11;Berlin;246;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2009;DLAND;Bundesländer;11;Berlin;3436;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;03;Niedersachsen;4013;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;03;Niedersachsen;3843;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;03;Niedersachsen;3837;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;03;Niedersachsen;170;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2015;DLAND;Bundesländer;03;Niedersachsen;7850;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;15;Sachsen-Anhalt;1285;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;15;Sachsen-Anhalt;1083;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;15;Sachsen-Anhalt;1143;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;15;Sachsen-Anhalt;202;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;15;Sachsen-Anhalt;2428;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;826;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2013;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;743;1000;ERW002;Erwerbstätige;e
